study,date,researcher,country,site,religion,subject_id,subject_gender,subject_age,subject_job,subject_schedule,subject_livedhere,subject_lang,subject_marital,subject_hs,subject_liveswith,servicesperweek,specialrole,hurtwfeelings_anger,hurtwthoughts_anger,healtheffectbyproxy_anger,hurtviaspirit_anger,helpwthoughts_caring,helpviaspirit_caring,healtheffectbyproxy_caring,hurtwfeelings_envy,hurtwthoughts_envy,hurtviaspirit_envy,thoughtsharmppldirectly,spiritsusethoughtsharm,childexp_abs,forgetsurrounding_abs,poeticlanguage_abs,starepicture_abs,mindenvelopworld_abs,cloudshapes_abs,vividdaydream_abs,mysticalexp_abs,stepoutsidemyself_abs,textures_abs,doublyreal_abs,caughtupinmusic_abs,heavybody_abs,sensepresence_abs,woodfireimagine_abs,immersednature_abs,colormeaning_abs,wanderthoughtstask_abs,clearpastexp_abs,meaninglesstoothers_abs,actinginplay_abs,visualthoughts_abs,delightsmallthings_abs,organmusic_abs,changenoise_abs,vividsmellmemories_abs,synesthesiasound_abs,predictwords_abs,physicalmemories_abs,fascinatingvoice_abs,invisiblepresence_abs,sponthoughtsimages_abs,synesthesiasmell_abs,emosunset_abs,godviapeople,godviascript,godviamind,godvoxaloud,godcommpics,godviavisions,godviadreams,godguideviaknowing,godguideviasensations,godviabodyexperiences,godsenseplaceinbody,godviatouch,godviasmell,neartangiblegod,presencenotgod,presencedemon,beingentbody,seehearnotgod,whitelight,trmblshakespirtpwr,rushofspiritpwr,intenseemospiritpwr,timeslowpray,mindspiritexitbody,humanshapeshift,spiritbeingencounter,sleepparalysis,voxwhenalone,seethingscornereye
study 1,2017-06-21,Faulino,Thailand,urban,local,99104,Male,49,Unstable hours,Professor,10 Years,Isaan Thai,Married,Yes,"Child,Spouse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1
study 1,2017-02-16,Faulino,Thailand,urban,charismatic,99105,Female,34,Freeland Media Specialist,Free But Regular,1 Year,Thai,Married,Yes,Lives alone,4,1,2,0,0,0,3,0,3,0,0,NA,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0.5,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1
study 1,2017-01-09,Emng,China,urban,local,99106,Male,33,Software Engineer,Stable,9 Years,Hebei Dialect,Married,Yes,"Spouse,Multiple children,Mother",Less Than Weekly,0,1,0,0,1,1,3,NA,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
study 1,2017-08-02,VDzokoto,Ghana,rural,charismatic,99107,Female,32,Sells Onions,"M,tu,th,fri 7-10 Am, W 6:30 -5 Pm",20 Years,Fante,Single,Yes Nyew,Multiple children Menye mbofra pii tse,2,1,3,0,0,0,0,2,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
study 1,2017-04-25,JBrahinsky,US,rural,local,99108,Female,47,Pharmacist,8/dy,14,Korean,Married,Yes,"Spouse,Child",1,0,1,1,1,1,1,2,3,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.5,0,0,0,1,0,0,0,0,1,0,1
study 1,2017-07-16,VDzokoto,Ghana,rural,local,99109,Male,54,"Okomfo, Farmer",Varies,54 Years,"Fante, English",Married Ana aware,Yes Nyew,Multiple children Menye mbofra pii tse,0,1,3,0,2,2,0,1,1,3,0,2,3,2,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0.5,0,1,0,1
study 1,2017-08-18,VDzokoto,Ghana,rural,local,99110,Female,23,Trainee Bosomfo/ Petty Trader,4 Hours,10 Years,Fante,Married Ana aware,No Oho/ dabi,Other relatives Ebusuafo,6,1,3,0,3,3,0,3,3,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0
study 1,2017-04-26,JBrahinsky,US,rural,local,99111,Male,47,Elementary School Teacher,730-330,22,Eng,Married,Yes,"Spouse,Multiple children",1,1,2,0,0,0,3,3,2,2,0,0,0,2,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
study 1,2017-04-22,Faulino,Thailand,rural,local,99112,Female,36,Unstable hours,House And Teach,30+ Years,Northern Thai,Married,Yes,"Spouse,Mother",1x Year,0,3,0,1,0,3,0,2,2,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1
study 1,2017-06-02,Jdulin,Ghana,urban,local,99113,Male,25,Traditionalist,6,25,Fante,Single,No,Lives alone,Everyday,1,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
study 1,2017-06-16,Rsmith,Vanuatu,urban,charismatic,99114,Male,25,Church,N/a,4yrs,South Santo,Singel (Single),Yes,aotsaet family (Other relatives),Everyday,1,1,1,1,1,0,NA,3,2,1,2,2,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0.5,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
study 1,2017-03-13,Jdulin,Ghana,urban,charismatic,99115,Male,29,Nurse,36,9 Years,Ewe,Married,Yes,"Spouse,Child",7,1,1,2,1,2,2,2,2,2,1,1,1,3,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1
study 1,2017-07-22,VDzokoto,Ghana,rural,charismatic,99116,Female,35,Teacher Assistant,M-f 9-3,3 Years,"English, Fante, Twi, Ga",Married Ana aware,Yes Nyew,Multiple children Menye mbofra pii tse,3,1,2,2,2,2,1,1,1,2,3,2,2,2,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0.5,0,0,1,0
study 1,2017-02-07,Faulino,Thailand,urban,local,99117,NA,25,Masters Student,Student Research Schedule,All Life,"Northern At Home, Thai",NA,NA,NA,2 X Month Or. 1 X Week,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
study 1,2017-03-08,Faulino,Thailand,urban,charismatic,99118,Female,37,Unstable hours,Private Bus Design,4,Thai,Married,Yes,Spouse,6,1,1,0,0,1,3,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
study 1,2017-04-06,JBrahinsky,US,rural,charismatic,99119,Female,35,Middle School Principal,43285,35,Eng,Single,Yes,"Child,Friends/roommates",43102,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1
study 1,2017-04-06,JBrahinsky,US,rural,charismatic,99120,Female,50,Disabled,NA,50,Span/eng,Engaged,Yes,"Friends/roommates,Child",3,0,3,0,0,0,0,2,0,2,0,0,0,1,1,1,1,1,0,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0
study 1,2017-03-21,Rsmith,Vanuatu,urban,local,99121,Female,58,Housewife,N/a,Whole Life,Lelepa,Maret finis (Married),No,"man o woman blong yu (Spouse),wan pikinini (Child)",Twice,1,1,1,1,1,0,1,3,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0.5,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1
study 1,2018-03-29,JBrahinsky,US,urban,local,99122,Female,48,Homemaker,Housewife,48,Eng,Married,Yes,"Multiple children,Spouse",1,0,0,0,0,0,1,2,1,0,0,NA,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
study 1,2017-03-05,Rsmith,Vanuatu,urban,charismatic,99123,Male,61,Painter,"8hr Per Day,",Ifira Whole Life,Ifira,Maret finis (Married),No,"aotsaet family (Other relatives),man o woman blong yu (Spouse),wan pikinini (Child)","Sunday, Pastors Unity",1,2,1,1,2,0,0,3,2,2,2,2,2,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0.5,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
study 1,2017-06-20,Rsmith,Vanuatu,urban,local,99124,Male,24,Unemployed,N/a,24y,bislama,Singel (Single),Yes,"stret mama (Mother),stret papa (Father), brata o sista (Sibling(s))","Youth Mon&sat, Friday",1,1,0,2,1,0,0,0,2,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.5,1,1,0,0
study 1,2017-02-19,Faulino,Thailand,urban,charismatic,99125,Female,44,"Used To Be Pharmacist, Now Variety",Unstable,26 Years,Thai,Married,Yes,Lives with over 5 people,3,1,1,0,1,1,3,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,NA,0,0,0,0,NA,1,0,0,0,0,1,1,0,0,0,NA,1,0.5,0
study 1,2018-03-28,JBrahinsky,US,urban,local,99126,Female,53,Administratir,Lots,29,Portugese,Divorced,Yes,Lives alone,1,0,3,3,1,1,3,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0
study 1,2017-07-14,VDzokoto,Ghana,rural,charismatic,99127,Male,25,Pastor's Assistant,Varies,3 Years,"Fante, English",Widowed Woho kafo efi mu,Yes Nyew,Other relatives Ebusuafo,3,1,1,0,1,1,0,2,1,1,0,2,1,2,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0.5,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1
study 1,2017-08-12,Emng,China,rural,local,99128,Male,55,Temple Staff,Morning To Night,Born And Raised In County,Henanese,Married,No,"Partner,Child",At Temple Daily,1,3,1,0,2,0,0,0,2,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1
study 1,2017-10-07,JBrahinsky,US,urban,charismatic,99129,Male,28,Lawyer,Multiple,28,Eng,Married,Yes,Spouse,43163,1,2,0,0,2,0,2,0,3,0,3,0,3,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1
study 1,2017-10-08,JBrahinsky,US,urban,local,99130,Female,52,Home,NA,19,Eng,Married,Yes,"Multiple children,Spouse",1,1,3,3,0,0,3,3,2,NA,2,1,2,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,NA,0,0,0,0.5,1,0,0,0,0,1,1,0,0,0,0,0,0
study 1,2017-08-12,Emng,China,rural,local,99131,Male,57,Medium,Unstable,"N/A, Kaifeng",Henanese,Married,No,Child,Monthly,0,3,0,0,1,0,1,0,3,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1
study 1,2017-03-17,Rsmith,Vanuatu,urban,charismatic,99132,Female,31,Student Aptc,Full Time,1year,"Tanna, Nakaran",Divos (Divorced),Yes,"i bitim 5 (Lives with over 5 people),aotsaet family (Other relatives),wan pikinini (Child)",Twice A Week,1,1,0,2,1,0,3,3,2,1,NA,0,NA,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,1
study 1,2017-06-30,Rsmith,Vanuatu,urban,charismatic,99133,Male,54,Ppolice,Full Time,5y,Nwakanamanga,Maret finis (Married),Yes,man o woman blong yu (Spouse),Everyday,1,1,0,1,2,0,0,2,1,0,2,0,2,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0.5,1,1,1,0
study 1,2017-02-20,Rsmith,Vanuatu,urban,local,99134,Female,53,Community Support Officer,8h Per Day Plus,15y,Tanna/narak,Maret finis (Married),Yes,"man o woman blong yu (Spouse),sam pikinini (Multiple children)","Sunday, Saturday Prayer Breakfast",1,2,2,0,3,3,NA,3,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,NA,1,NA,1,1,1,0,0,1,1,0.5,0,1,0,1,1,0.5,1,0,1,NA,1,1,1
study 1,2017-09-10,Rsmith,Vanuatu,rural,charismatic,99135,Male,59,"Council Secretary, Pastor",NA,Life,"Emae, Namakura",Maret finis (Married),No,"sam pikinini (Multiple children),man o woman blong yu (Spouse)",Everyday,1,1,NA,2,1,0,0,NA,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,0,1,1,1,0,NA,NA,0,1,1,1,0,1,1,0,1,0,0,0,NA,1,1,0,0
study 1,2017-02-22,Rsmith,Vanuatu,urban,local,99136,Female,46,Housework,N/a,25 Y,Bislama/paama,Maret finis (Married),No,"man o woman blong yu (Spouse),sam pikinini (Multiple children)","Every Wik, Youth, Pwmu",1,1,1,1,2,0,NA,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,NA,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1
study 1,2017-10-08,JBrahinsky,US,urban,charismatic,99137,Female,27,Structural Engineer,43317,7,Assyrian,Single,Yes,Lives alone,3,0,3,2,NA,3,NA,0,1,NA,3,3,2,3,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,1
study 1,2017-05-11,JBrahinsky,US,urban,charismatic,99138,Male,50,Teacher,745-315,7yrs,Eng,Single,Yes,Mother,3,1,2,0,0,0,0,2,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0
study 1,2017-02-08,Jdulin,Ghana,urban,charismatic,99139,Male,26,Medical Practicioner General,60,8 Years,Twi,Single,Yes,Lives alone,2,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0
study 1,2017-08-19,VDzokoto,Ghana,rural,local,99140,Female,69,"Bosomfo, Farmer, Used To Sell Kenkey In Ivory Coast And Fish In Lagos",6-12 3 Days A Week,"15 Years In Current Location, Most Of Life In The Same Village , But With 4-6 Month Long Migrant Work Trips To Nigeria And Ivory Coast Per Year",Fante,Widowed Woho kafo efi mu,No Oho/ dabi,Other relatives Ebusuafo,N/a,1,2,1,1,3,0,1,1,3,1,3,2,2,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0.5,1,0,1,0,0
study 1,2018-03-29,JBrahinsky,US,rural,local,99141,Female,39,Professor,Many,39,Eng,Married,Yes,"Spouse,Multiple children",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
study 1,2017-03-13,Faulino,Thailand,urban,local,99142,Female,35,Stable hours,Office Research,Whole Life,Northern And Lieu,Single,Yes,"Mother,Father,Sibling(s)",Not Weekly,0,2,2,0,0,3,0,0,2,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
study 1,2017-07-04,VDzokoto,Ghana,rural,local,99143,Female,51,Okomfo And Farmer,43379,"51 Years In The Region, But 3 Years In The Village",Fante,Divorced Egyae aware,No Oho/ dabi,Child menye me ba tse,Varies,1,3,2,3,1,2,2,1,2,2,2,2,2,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0
study 1,2017-07-18,VDzokoto,Ghana,rural,local,99144,Female,57,"Okomfo, Store Owner",Varies,30years,Fante,Married Ana aware,No Oho/ dabi,Spouse Menye me kum/yer,N/A,NA,2,2,2,2,0,0,1,2,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0.5,1,0,0,0,0
study 1,2017-08-10,Jdulin,Ghana,urban,local,99145,Female,40,Komfo,5-6hours,25,Fante,Married,No,"Spouse,Multiple children,Sibling(s)",7,1,1,1,1,1,1,1,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1
study 1,2017-03-16,Rsmith,Vanuatu,urban,charismatic,99146,Female,40,Business- Shop,Normal,10 Y,Fiji,Maret finis (Married),Yes,"sam pikinini (Multiple children),man o woman blong yu (Spouse)","Sunday, Evening Devotion",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0
study 1,2017-09-08,Rsmith,Vanuatu,rural,charismatic,99147,Male,55,"Pastor, Councillor",NA,Life,"Euta Village, Namakura",Maret finis (Married),Year 9,"sam pikinini (Multiple children), brata o sista (Sibling(s)),man o woman blong yu (Spouse)",Once,1,1,0,2,1,NA,NA,NA,1,0,1,NA,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0.5,0,1,0,0
study 1,2017-04-25,JBrahinsky,US,rural,local,99148,Female,46,Teacher Musician,Many,24,Eng,Married,Yes,"Spouse,Child",2,1,2,0,0,0,0,0,2,0,0,0,0,2,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0.5,0,0,1,1,1,0,0,0,0,0
study 1,2017-08-12,Emng,China,rural,local,99149,Male,54,Shipping Office Staff,Stable,"N/A, Suburbs Of Xinxiang",Henanese,Married,No,"Multiple children,Partner",Every Two Weeks,0,NA,0,0,0,0,NA,NA,NA,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1
study 1,2018-03-28,JBrahinsky,US,urban,local,99150,Male,30,Pastor,50,1,Eng,Single,Yes,Sibling(s),2,1,1,0,0,0,1,2,1,2,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0.5,1
study 1,2017-10-08,JBrahinsky,US,urban,charismatic,99151,Male,47,Gentech Engineer,43288,47,Eng,Married,Yes,"Spouse,Child",3,1,2,0,0,0,0,0,0,NA,0,0,0,3,1,1,0,1,0,1,1,1,0,1,1,1,NA,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1
study 1,2017-04-06,JBrahinsky,US,rural,charismatic,99152,Male,36,Youth Pastor,Random,30,Eng,Married,Yes,"Multiple children,Spouse",2,1,3,0,0,0,0,2,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0.5,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
study 1,2017-09-10,Rsmith,Vanuatu,rural,charismatic,99153,Male,54,"Gardener, Pastor",NA,Life,"Tongariki, Namakura",Maret finis (Married),No,"wan pikinini (Child),aotsaet family (Other relatives),man o woman blong yu (Spouse)",Everyday,1,1,0,NA,1,NA,0,NA,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0,1,1,1,1,1,1,NA,1,1,1,1,0,1,1,1,0,0,NA,0,0.5,1,1,NA,0
study 1,2017-04-20,Faulino,Thailand,rural,charismatic,99154,Male,58,Unstable hours,Field Farm,All Life,Northern,Married,No,Spouse,2,1,1,3,1,0,2,0,2,0,0,0,NA,3,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,NA,1,0,1,1,0,1,1,0.5,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1
study 1,2017-08-18,Emng,China,rural,local,99155,Female,75,Spirit Medium,Stable,Born And Raised,Henanese,Married,No,"Child,Other relatives",Daily,1,0,NA,NA,NA,0,1,NA,NA,0,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0
